"index","corpus","source_relpath","status","width","height","s_raw","scale_percent","page_items","root_items","top_layers","total_layers","nested_layers","empty_layers","duplicate_sibling_names","max_layer_depth","error"
"132","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et3,5_2.ai","OK","446.606299","550.921232","1.777636757","170","2726","1323","10","10","0","0","0","0",""
"133","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et3,5_3.ai","OK","462.355315","550.921243","1.747098989","170","2699","1310","10","10","0","0","0","0",""
"134","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et3,5_4.ai","OK","462.355315","567.929152","1.720739748","170","2444","1184","10","10","0","0","0","0",""
"135","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et3,5_5.ai","OK","400.175116","392.258064","2.225559547","200","1778","865","10","10","0","0","0","0",""
"136","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et3,5_7.ai","OK","573.598453","466.890748","1.703878328","170","2515","1219","10","10","0","0","0","0",""
"137","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et3,5_8.ai","OK","573.598427","466.890748","1.703878367","170","2412","1166","10","10","0","0","0","0",""
"138","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et3,5_9.ai","OK","533.913416","454.543307","1.789893324","170","2509","1218","10","10","0","0","0","0",""
"139","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et3_6.ai","OK","490.293307","547.67815","1.701607962","170","2494","1211","15","15","0","0","0","0",""
"140","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et4_1.ai","OK","457.819882","554.889734","1.749441922","170","2478","1205","11","11","0","0","0","0",""
"141","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et4_10.ai","OK","561.851379","479.0975","1.699524857","170","2428","1175","13","13","0","0","0","0",""
"142","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et4_11.ai","OK","567.929107","453.284449","1.737871757","170","2284","1109","10","10","0","0","0","0",""
"143","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et4_2.ai","OK","474.544292","550.921289","1.724515271","170","2758","1340","13","13","0","0","0","0",""
"144","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et4_4.ai","OK","490.293307","567.929103","1.670995015","170","2508","1214","13","13","0","0","0","0",""
"145","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et4_5.ai","OK","428.113108","392.258064","2.151716231","200","1836","893","13","13","0","0","0","0",""
"146","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et4_7.ai","OK","573.598443","494.82874","1.655079117","170","2573","1247","13","13","0","0","0","0",""
"147","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et4_8.ai","OK","573.598425","494.82874","1.655079143","170","2470","1195","13","13","0","0","0","0",""
"148","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et4_9.ai","OK","533.9134","454.543307","1.789893351","170","2503","1214","10","10","0","0","0","0",""
"149","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et5_6.ai","OK","429.031496","519.740158","1.867293021","200","2318","1120","10","10","0","0","0","0",""
"150","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et6_1.ai","OK","423.520669","554.889735","1.818903039","170","2554","1242","14","14","0","0","0","0",""
"151","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et6_2.ai","OK","476.018353","550.921252","1.72184315","170","2676","1301","14","14","0","0","0","0",""
"152","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et6_4.ai","OK","491.76738","567.929103","1.668488731","170","2606","1262","14","14","0","0","0","0",""
"153","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et6_5.ai","OK","462.355315","899.457678","1.189605722","120","4920","2414","18","18","0","0","0","0",""
"154","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et6_6.ai","OK","777.692937","494.82874","1.375864366","150","5522","2712","19","19","0","0","0","0",""
"155","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et6_7.ai","OK","573.598397","466.890748","1.703878412","170","2422","1172","10","10","0","0","0","0",""
"156","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et6_9.ai","OK","533.913374","444.929498","1.8091276","170","2370","1148","10","10","0","0","0","0",""
